X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,email,date_updated,dis_status,POINT_X,POINT_Y
-118.567010055467,34.2382879667316,54980,211,,Public Safety,Crime Reporting and Investigation,,www.dtsc.ca.gov,California State Department Of Toxic Substances Control - Chatsworth Office,9211 Oakdale Ave.,,Chatsworth,CA,"Monday through Friday, 8:00am to 5:00pm. After hours, holidays and on weekends, messages may be left.  Closed the first and third Friday of the month. ","Administrative (818) 717-6500, Waste Alert Hotline Service/Intake (818) 717-6551, 800-72-TOXIC - State Hotline Service/Intake (800) 728-6942",www.dtsc.ca.gov,,,57208,The agency provides conservation services related to reports of suspected or confirmed violations of hazardous waste handling regulations.,91311,http://egis3.lacounty.gov/lms/?p=57208,publish,34.238288,-118.56701,,2013/06/01 11:50:56+00,,6390298.93909822,1909581.17881732
-118.198060056123,33.7674499677577,55866,211,,Public Safety,Crime Reporting and Investigation,,www.ice.gov,United States Department Of Homeland Security - Immigration And Customs Enforcement - Homeland Security Investigations,501 W. Ocean Blvd.,Suite 7200,Long Beach,CA,,"Service/Intake and Hotline (866) 347-2423,  FAX (562) 590-7352, SAC Administrative (562) 624-3800",www.ice.gov,,,57844,The agency provides law enforcement services in immigration and customs issues.,90802,http://egis3.lacounty.gov/lms/?p=57844,publish,33.76745,-118.19806,,2013/06/01 11:50:56+00,,6501471.37390514,1737809.09027556
-118.241845756177,34.0554689265366,55875,211,,Public Safety,Crime Reporting and Investigation,,www.justice.gov/usao/cac/,United States Department Of Justice - United States Attorney's Office - Central District Of California,312 N Spring St,,Los Angeles,CA,,"Federal Victim/Witness Notification Services Service/Intake (866) 365-4968,  Service/Intake (213) 894-2400",www.justice.gov/usao/cac/,,,57848,The agency provides law enforcement services regarding federal crimes.,90012,http://egis3.lacounty.gov/lms/?p=57848,publish,34.05546896,-118.2418457,,2015/05/04 14:34:46+00,,6488415.22383639,1842654.74114814
-118.254350056617,34.1542269366846,55877,211,,Public Safety,Crime Reporting and Investigation,,www.atf.gov/,"United States Department Of Justice - Bureau Of Alcohol, Tobacco, Firearms And Explosives - Los Angeles Field Division",550 N Brand Blvd,,Glendale,CA,"Monday through Friday, 8:00am to 6:00pm. ","Service/Intake and Administration (818) 265-2500,  FAX (818) 265-2501",www.atf.gov/,,,57849,The agency provides law enforcement services to residents of the United States.,91203,http://egis3.lacounty.gov/lms/?p=57849,publish,34.15422697,-118.25435,,2015/05/04 14:35:20+00,,6484718.61804064,1878603.86347547
-118.309675056321,34.1801859667703,55936,211,,Public Safety,Crime Reporting and Investigation,,www.kidfind.org,Missing Children Investigation Agency,133 E. Olive Ave.,,Burbank,CA,,"Service/Intake and Administration (818) 663-3000, After-Hours and Emergencies Service/Intake and Administration (877) 874-8042",www.kidfind.org,,,57886,The agency provides missing persons location assistance and supervised visitation monitoring for parents with children of all ages in Los Angeles County and throughout the country.,91502,http://egis3.lacounty.gov/lms/?p=57886,publish,34.180186,-118.309675,,2013/06/01 11:50:56+00,,6468009.60126188,1888097.74146931
-118.1446260569,34.1463359667453,55978,211,,Public Safety,Crime Reporting and Investigation,,postalinspectors.uspis.gov/,United States Postal Inspection Service,281 E. Colorado Blvd.,,Pasadena,CA,"Monday through Friday, 8:00am to 4:45pm. ","General Information Service/Intake (800) 275-8777, Dangerous Mailing, Theft, Mail Fraud, Counterfeit Money Orders, etc. Service/Intake (877) 876-2455,  FAX (626) 405-1207",postalinspectors.uspis.gov/,,,57936,The agency provides postal crime reporting services for people in Los Angeles County.,91101,http://egis3.lacounty.gov/lms/?p=57936,publish,34.146336,-118.144626,,2013/06/01 11:50:56+00,,6517910.63827063,1875666.31816947
-118.332615056154,34.100247966772,57028,211,,Public Safety,Crime Reporting and Investigation,,www.lagaycenter.org,L A Gay And Lesbian Center - Anti-Violence Project,1625 N. Schrader Blvd.,,Los Angeles,CA,,"Service/Intake and Administration (323) 993-7670,  FAX (323) 993-7653, Anti-Violence Project Service/Intake (800) 373-2227, Anti-Violence Project Spanish line Service/Intake (877) 963-4666",www.lagaycenter.org,,,58776,The center's anti-violence project is a community action group that provides advocacy for victims of anti-gay/lesbian/bisexual/transgender hate crimes.,90028,http://egis3.lacounty.gov/lms/?p=58776,publish,34.100248,-118.332615,,2013/06/01 11:50:56+00,,6460975.19669555,1859029.16115515
-118.246910156123,34.0500830367619,58186,211,,Public Safety,Crime Reporting and Investigation,,www.insurance.ca.gov,California State Department Of Insurance,300 S Spring St,South Tower| 9th Fl.,Los Angeles,CA,,"Fraud Division Service/Intake (323) 278-5000, Consumer Hotline - Insurance Issues Hotline/Talkline/Warmline (800) 927-4357,  TDD (800) 482-4833, Low Cost Auto Insurance Service/Intake (866) 602-8861, Los Angeles Office Hotline/Talkline/Warmline (213) 897-",www.insurance.ca.gov,,,59689,The department regulates insurance companies that do business in the state of California.,90013,http://egis3.lacounty.gov/lms/?p=59689,publish,34.05008307,-118.2469101,,2013/06/01 11:50:56+00,,6486876.40473555,1840698.44650431
-118.398002056247,34.0725099666559,58226,211,,Public Safety,Crime Reporting and Investigation,,da.lacounty.gov,Los Angeles County District Attorney - Beverly Hills Office,9355 Burton Way,,Beverly Hills,CA,"Monday through Friday, 8:00am to 5:00pm. ","FAX (310) 550-5325,  Service/Intake (310) 288-1246",da.lacounty.gov,,,59728,"The District Attorney's Office provides consumer services, domestic violence services and law enforcement.",90210,http://egis3.lacounty.gov/lms/?p=59728,publish,34.07251,-118.398002,,2013/06/01 11:50:56+00,,6441140.20683806,1849006.79766972
-118.196702056121,33.7673789673106,58234,211,,Public Safety,Crime Reporting and Investigation,,da.lacounty.gov,Los Angeles County District Attorney - Long Beach Office,415 W. Ocean Blvd.,,Long Beach,CA,"Monday through Friday, 8:00am to 5:00pm. ","FAX (562) 432-3898,  Service/Intake (562) 491-6301",da.lacounty.gov,,,59733,"The District Attorney's Office provides consumer services, domestic violence services and law enforcement.",90802,http://egis3.lacounty.gov/lms/?p=59733,publish,33.767379,-118.196702,,2013/06/01 11:50:56+00,,6501884.07747605,1737782.44072255
-118.032062056547,34.0717639667691,58241,211,,Public Safety,Crime Reporting and Investigation,,da.lacounty.gov,Los Angeles County District Attorney - El Monte Office,11234 E. Valley Blvd.,,El Monte,CA,"Monday through Friday, 8:00am to 5:00pm. ","FAX (626) 442-6543,  Service/Intake (626) 575-4155",da.lacounty.gov,,,59738,"The District Attorney's Office provides consumer services, domestic violence services and law enforcement.",91731,http://egis3.lacounty.gov/lms/?p=59738,publish,34.071764,-118.032062,,2013/06/01 11:50:56+00,,6551960.62528864,1848498.24520914
-118.354347055939,33.9646159665974,58248,211,,Public Safety,Crime Reporting and Investigation,,da.lacounty.gov,Los Angeles County District Attorney - Inglewood Office,1 Regent St.,,Inglewood,CA,"Monday through Friday, 8:00am to 5:00pm. ","FAX (310) 674-7839,  Service/Intake (310) 419-5182",da.lacounty.gov,,,59742,"The District Attorney's Office provides consumer services, domestic violence services and law enforcement.",90301,http://egis3.lacounty.gov/lms/?p=59742,publish,33.964616,-118.354347,,2013/06/01 11:50:56+00,,6454222.12489989,1809692.76540557
-118.259508055966,34.050425966837,58629,211,,Public Safety,Crime Reporting and Investigation,,www.dol.gov/olms/,United States Department Of Labor - Office Of Labor Management Standards,915 Wilshire Blvd.,,Los Angeles,CA,"Monday through Friday, 8:30am to 4:30pm. ","FAX (213) 534-6413,  Service/Intake (213) 534-6405",www.dol.gov/olms/,,,60045,The office is a government regulatory agency that enforces labor-management laws in Los Angeles County.,90017,http://egis3.lacounty.gov/lms/?p=60045,publish,34.050426,-118.259508,,2013/06/01 11:50:56+00,,6483060.58362706,1840832.85798089
-118.340224056073,33.8390289669454,58639,211,,Public Safety,Crime Reporting and Investigation,,www.lasuperiorcourt.org,Los Angeles County Superior Court - Family Court Services / Child Custody Evaluations Office - Torrance,825 Maple Ave.,,Torrance,CA,"Hours vary; please call for hours. ",Administrative (310) 222-1278,www.lasuperiorcourt.org,,,60054,The office provides child custody evaluation services for Family Law litigants in Los Angeles County.,90503,http://egis3.lacounty.gov/lms/?p=60054,publish,33.839029,-118.340224,,2013/06/01 11:50:56+00,,6458349.91421647,1763974.18394265
-118.436499056444,34.2842019664906,58640,211,,Public Safety,Crime Reporting and Investigation,,www.lasuperiorcourt.org,Los Angeles County Superior Court - Family Court Services / Child Custody Evaluations Office - San Fernando,900 Third St.,,San Fernando,CA,"Hours vary; please call for hours. ",Administrative (818) 898-2647,www.lasuperiorcourt.org,,,60055,The office provides child custody evaluation services for Family Law litigants in Los Angeles County.,91340,http://egis3.lacounty.gov/lms/?p=60055,publish,34.284202,-118.436499,,2013/06/01 11:50:56+00,,6429816.46176906,1926093.06311631
-118.144101057029,34.1493789665155,58641,211,,Public Safety,Crime Reporting and Investigation,,www.lasuperiorcourt.org,Los Angeles County Superior Court - Family Court Services / Child Custody Evaluations Office - Pasadena,300 E. Walnut St.,,Pasadena,CA,"Hours vary; please call for hours. ",Administrative (626) 356-5793,www.lasuperiorcourt.org,,,60056,The office provides child custody evaluation services for Family Law litigants in Los Angeles County.,91101,http://egis3.lacounty.gov/lms/?p=60056,publish,34.149379,-118.144101,,2013/06/01 11:50:56+00,,6518071.0756138,1876773.49213623
-118.491121055613,34.0108259664235,58642,211,,Public Safety,Crime Reporting and Investigation,,www.lasuperiorcourt.org,Los Angeles County Superior Court - Family Court Services / Child Custody Evaluations Office - Santa Monica,1725 Main St.,,Santa Monica,CA,"Hours vary; please call for hours. ",Administrative (310) 260-3710,www.lasuperiorcourt.org,,,60057,The office provides child custody evaluation services for Family Law litigants in Los Angeles County.,90401,http://egis3.lacounty.gov/lms/?p=60057,publish,34.010826,-118.491121,,2013/06/01 11:50:56+00,,6412830.76181664,1826683.76554422
-118.569814056097,34.2405949666508,58643,211,,Public Safety,Crime Reporting and Investigation,,www.lasuperiorcourt.org,Los Angeles County Superior Court - Family Court Services / Child Custody Evaluations Office - Chatsworth,9425 Penfield Ave.,,Chatsworth,CA,"Hours vary; please call for hours. ",Administrative (818) 576-8437,www.lasuperiorcourt.org,,,60058,The office provides child custody evaluation services for Family Law litigants in Los Angeles County.,91311,http://egis3.lacounty.gov/lms/?p=60058,publish,34.240595,-118.569814,,2013/06/01 11:50:56+00,,6389456.23474689,1910425.51669556
-118.307277056737,34.1819839663639,58644,211,,Public Safety,Crime Reporting and Investigation,,www.lasuperiorcourt.org,Los Angeles County Superior Court - Family Court Services / Child Custody Evaluations Office - Burbank,300 E. Olive Ave.,,Burbank,CA,"Hours vary; please call for hours. ",Administrative (818) 729-8924,www.lasuperiorcourt.org,,,60059,The office provides child custody evaluation services for Family Law litigants in Los Angeles County.,91502,http://egis3.lacounty.gov/lms/?p=60059,publish,34.181984,-118.307277,,2013/06/01 11:50:56+00,,6468736.87047663,1888749.83727798
-118.225402056733,33.8958349672754,58645,211,,Public Safety,Crime Reporting and Investigation,,www.lasuperiorcourt.org,Los Angeles County Superior Court - Family Court Services / Child Custody Evaluations Office - Compton,200 W. Compton Blvd.,,Compton,CA,"Monday through Friday, 8:00am to 4:30pm ",Administrative (310) 603-7703,www.lasuperiorcourt.org,,,60060,The office provides child custody evaluation services for Family Law litigants in Los Angeles County.,90220,http://egis3.lacounty.gov/lms/?p=60060,publish,33.895835,-118.225402,,2013/06/01 11:50:56+00,,6493265.74563138,1784549.12474807
-118.196702056121,33.7673789673106,58646,211,,Public Safety,Crime Reporting and Investigation,,www.lasuperiorcourt.org,Los Angeles County Superior Court - Family Court Services / Child Custody Evaluations Office - Long Beach,415 W. Ocean Blvd.,,Long Beach,CA,"Hours vary; please call for hours. ","Administrative (562) 491-6594,  Administrative (562) 491-6109",www.lasuperiorcourt.org,,,60061,The office provides child custody evaluation services for Family Law litigants in Los Angeles County.,90802,http://egis3.lacounty.gov/lms/?p=60061,publish,33.767379,-118.196702,,2013/06/01 11:50:56+00,,6501884.07747605,1737782.44072255
-117.753806057693,34.0539759669187,58647,211,,Public Safety,Crime Reporting and Investigation,,www.lasuperiorcourt.org,Los Angeles County Superior Court - Family Court Services / Child Custody Evaluations Office - Pomona,400 Civic Center Plaza,,Pomona,CA,"Hours vary; please call for hours. ",Administrative (909) 397-7060,www.lasuperiorcourt.org,,,60062,The office provides child custody evaluation services for Family Law litigants in Los Angeles County.,91766,http://egis3.lacounty.gov/lms/?p=60062,publish,34.053976,-117.753806,,2013/06/01 11:50:56+00,,6636243.86223364,1842114.63100789
-138.15218601103,27.1960099687157,58648,211,,Public Safety,Crime Reporting and Investigation,,www.lasuperiorcourt.org,Los Angeles County Superior Court - Family Court Services / Child Custody Evaluations Office - Van Nuys,6230 Sylmar ave.,,Van Nuys,CA,"Hours vary; please call for hours. ","Administrative (818) 374-2878,  Administrative (818) 374-2330",www.lasuperiorcourt.org,,,60063,The office provides child custody evaluation services for Family Law litigants in Los Angeles County.,91401,http://egis3.lacounty.gov/lms/?p=60063,publish,27.19601,-138.152186,,2013/06/01 11:50:56+00,,4.22168173,-2.15259893
-118.136746056884,34.6460579659963,58649,211,,Public Safety,Crime Reporting and Investigation,,www.lasuperiorcourt.org,Los Angeles County Superior Court - Family Court Services / Child Custody Evaluations Office - Lancaster,42011 4th St. West,,Lancaster,CA,"Hours vary; please call for hours. ",Administrative (661) 974-7347,www.lasuperiorcourt.org,,,60064,The office provides child custody evaluation services for Family Law litigants in Los Angeles County.,93534,http://egis3.lacounty.gov/lms/?p=60064,publish,34.646058,-118.136746,,2013/06/01 11:50:56+00,,6520542.29672122,2057522.19986381
-118.246557056728,34.0546029670361,58650,211,,Public Safety,Crime Reporting and Investigation,,www.lasuperiorcourt.org,Los Angeles County Superior Court - Family Court Services / Child Custody Evaluations Office,111 N. Hill St.,,Los Angeles,CA,"Monday through Friday, 8:00am to 4:30pm; closed between 1:00pm and 2:00pm. ","Service/Intake and Administration (213) 893-2098, Choose Option 5 Service/Intake and Administration (213) 893-2096",www.lasuperiorcourt.org,,,60065,The office provides child custody evaluation services for Family Law litigants in Los Angeles County.,90012,http://egis3.lacounty.gov/lms/?p=60065,publish,34.054603,-118.246557,,2013/06/01 11:50:56+00,,6486987.39992039,1842343.06952739
-118.244030456218,34.0523414071184,59114,211,,Public Safety,Crime Reporting and Investigation,,NULL,City Of Los Angeles Police Department - Noise Enforcement Team,100 W 1St St,,Los Angeles,CA,"Monday through Friday, 6:00am to 2:00pm. ","FAX (213) 996-1233,  Service/Intake (213) 996-1250",,,,60430,The program provides law enforcement of noise ordinances for the city of Los Angeles.,90012,http://egis3.lacounty.gov/lms/?p=60430,publish,34.05234144,-118.2440304,,2013/06/01 11:50:56+00,,6487750.71597905,1841518.17878872
-118.191384056588,33.7662559677768,59145,211,,Public Safety,Crime Reporting and Investigation,,www.salvationarmy.usawest.org,Salvation Army - Missing Persons Service,180 E. Ocean Blvd.,,Long Beach,CA,"Monday through Friday, 8:00am to 12:00pm; 1:00pm to 4:00pm. ","Service/Intake (562) 491-8324,  Service/Intake (800) 698-7728",www.salvationarmy.usawest.org,,,60465,The program provides missing persons services for adults 18 years and older.,90802,http://egis3.lacounty.gov/lms/?p=60465,publish,33.766256,-118.191384,,2013/06/01 11:50:56+00,,6503499.66774881,1737370.62921023
-118.15632905619,33.8054429673194,59358,211,,Public Safety,Crime Reporting and Investigation,,www.longbeach.gov/pw/default.asp,City Of Long Beach Department Of Public Works - Environmental Services Bureau,2929 E. Willow St.,,Long Beach,CA,"Monday through Friday, 7:30am to 4:30pm. ","FAX (562) 570-2875, Environmental Services Bureau Service/Intake and Administration (562) 570-2876",www.longbeach.gov/pw/default.asp,,,60651,The Public Works Department of the City of Long Beach provides a variety of services for the community.,90806,http://egis3.lacounty.gov/lms/?p=60651,publish,33.805443,-118.156329,,2013/06/01 11:50:56+00,,6514176.71299572,1751613.43077706
-118.243901056796,34.0557989669677,59532,211,,Public Safety,Crime Reporting and Investigation,,http://da.lacounty.gov/cau,Los Angeles County District Attorney - Child Abduction Unit,320 W. Temple St.,,Los Angeles,CA,"Monday through Friday, 8:00am to 4:00pm. ","Legal Staff Service/Intake and Administration (213) 974-5985,  FAX (213) 613-2702, Investigations - Child Abduction Service/Intake (213) 974-7424",http://da.lacounty.gov/cau,,,60789,The unit provides child protective services for children and families in Los Angeles county.,90012,http://egis3.lacounty.gov/lms/?p=60789,publish,34.055799,-118.243901,,2013/06/01 11:50:56+00,,6487792.96556647,1842776.35310964
-118.245599056873,34.0572379669382,59868,211,,Public Safety,Crime Reporting and Investigation,,portal.lacounty.gov/wps/portal/auditor,Los Angeles County Auditor - Controller,500 W. Temple St.,,Los Angeles,CA,"Monday through Thursday, 8:00am to 4:00pm. After hours and weekends callers may leave a message. ","HIPAA Hotline Service/Intake and Hotline (213) 974-2164, General Information Auditors - Controllers Service/Intake (213) 974-8301, Property Tax Information Service/Intake (213) 974-8368, Fraud Hotline Service/Intake and Hotline (800) 544-6861",portal.lacounty.gov/wps/portal/auditor,,,61026,This is a crime-reporting hotline for Los Angeles County.,90012,http://egis3.lacounty.gov/lms/?p=61026,publish,34.057238,-118.245599,,2013/06/01 11:50:56+00,,6487279.92361355,1843301.2838183
-118.23436980735,34.6992044356566,62320,211,,Public Safety,Crime Reporting and Investigation,,,Los Angeles County Department Of Coroner - Antelope Valley Regional Office,44900 60Th St W,,Lancaster,CA,Antelope Valley Regional Office is not open to the public. ,"Administrative (661) 945-8566,  FAX (661) 945-9512, 24 Hour Line Service/Intake (323) 343-0714",coroner.lacounty.gov,,,70162,This department provides coroner services for Los Angeles County and other agencies requesting assistance.,93536,http://egis3.lacounty.gov/lms/?p=70162,publish,34.69920447,-118.23436975,,2015/05/04 14:25:42+00,,6491225.90653522,2076917.93666281
-118.354822656154,33.9630842166689,62510,211,,Public Safety,Crime Reporting and Investigation,,,City Of Inglewood Police Department,1 W Manchester Blvd,,Inglewood,CA,"Monday through Sunday, 24 hours per day. ","Front Desk Service/Intake (310) 412-5211, Direct Dispatch - Emergency and Non-Emergency Number Service/Intake (310) 412-8771, Administration Administrative (310) 412-5200, Community Affairs Service/Intake (310) 412-5530",www.inglewoodpd.org/,,,70257,The agency provides law enforcement services for the city of Inglewood.,90301,http://egis3.lacounty.gov/lms/?p=70257,publish,33.96308425,-118.3548226,,2010/11/01 11:50:56+00,,6454075.94212139,1809135.84099448
-118.188792856005,33.9795200973369,62515,211,,Public Safety,Crime Reporting and Investigation,,,City Of Bell Police Department,6326 Pine Ave,,Bell,CA,"Monday through Sunday, 24 hours per day. ","Bell Anonymous Tip Line Service/Intake (323) 923-2655,  FAX (323) 562-0410, Direct Dispatch - 24-Hours - Emergency Number Service/Intake (323) 585-1245,  Service/Intake and Administration (323) 588-6211",www.cityofbell.org,,,70258,The department provides law enforcement services for the city of Bell.,90201,http://egis3.lacounty.gov/lms/?p=70258,publish,33.97952013,-118.1887928,,2010/11/01 11:50:56+00,,6504433.02382173,1814981.05830665
-118.160577156017,34.034942407213,62733,211,,Public Safety,Crime Reporting and Investigation,,,Los Angeles County District Attorney - East Los Angeles Office,4848 Civic Center Way,Rm. 201,Los Angeles,CA,"Monday through Friday, 8:00am to 5:00pm. ","FAX (323) 269-4869,  Service/Intake (323) 780-2032",da.lacounty.gov,,,70364,"The District Attorney's Office provides consumer services, domestic violence services and law enforcement.",90022,http://egis3.lacounty.gov/lms/?p=70364,publish,34.03494244,-118.1605771,,2010/11/01 11:50:56+00,,6513019.53781664,1835135.47370639
-118.266904656424,34.0300398972386,62738,211,,Public Safety,Crime Reporting and Investigation,,,Los Angeles County District Attorney - Metropolitan Office,1933 S Broadway,Suite 730,Los Angeles,CA,"Monday through Friday, 8:00am to 5:00pm. ","FAX (213) 746-7556,  Service/Intake (213) 744-4201",da.lacounty.gov,,,70365,"The District Attorney's Office provides consumer services, domestic violence services and law enforcement.",90007,http://egis3.lacounty.gov/lms/?p=70365,publish,34.03003993,-118.2669046,,2010/11/01 11:50:56+00,,6480800.32338381,1833419.85935548
-118.551256755769,34.415622976304,62743,211,,Public Safety,Crime Reporting and Investigation,,,Los Angeles County District Attorney - Santa Clarita Office,23747 Valencia Blvd,Rm. 1,Santa Clarita,CA,"Monday through Friday, 8:00am to 5:00pm. ","Service/Intake and Administration (661) 253-7244,  FAX (661) 254-8942",da.lacounty.gov,,,70366,"The District Attorney's Office provides consumer services, domestic violence services and law enforcement.",91355,http://egis3.lacounty.gov/lms/?p=70366,publish,34.41562301,-118.5512567,,2010/11/01 11:50:56+00,,6395414.04271314,1974089.29487956
-117.801680557183,34.1047721673532,62829,211,,Public Safety,Crime Reporting and Investigation,,,Los Angeles County Sheriff - San Dimas Station,270 S Walnut Ave,,San Dimas,CA,"Monday through Sunday, 24 hours per day. ","Service/Intake (909) 450-2700,  Service/Intake (909) 599-1261, Non-Emergency Service/Intake (626) 332-1184",www.lasd.org,,,70425,"The department provides correctional programs, disaster services, environmental services, holiday assistance, law enforcement services, substance abuse services and youth services for the unincorporated areas of Los Angeles County and contracting cities.",91773,http://egis3.lacounty.gov/lms/?p=70425,publish,34.1047722,-117.8016805,,2010/11/01 11:50:56+00,,6621705.95758247,1860568.23320822
